kernel,N,tail_kind,alignment,offset,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,runtime_scalar_median,runtime_scalar_var,runtime_simd_median,runtime_simd_var,speedup_median,speedup_var,gflops_scalar_median,gflops_scalar_var,gflops_simd_median,gflops_simd_var,validated,abs_err,rel_err
SAXPY,200000,no_tail_16x,aligned,0,0.00020954,2.5131414604036918e-05,0.00016604,1.3914848184583259e-05,1.2619850638400385,1.908943399828195,2.409058058299205,0.0001997,6.315880000000001e-10,0.0001672,1.9362300000000003e-10,1.3172554347826086,0.013306499809389858,2.0030045067601403,0.0471573262306252,2.3923444976076556,0.041900532817875855,1,0.0,0.0
SAXPY,200000,no_tail_16x,misaligned,1,0.00020448,3.241892965537265e-05,0.00017306,2.003254851485452e-05,1.1815555298740321,1.9561815336463224,2.3113371085172774,0.000195,1.050987e-09,0.0001718,4.013030000000001e-10,1.1350407450523865,0.10411102580867919,2.051282051282051,0.07282792895685368,2.3282887077997674,0.0756925159261251,1,0.0,0.0
SAXPY,200008,no_tail_8x,aligned,0,0.00023568,5.994553361177128e-05,0.00018580000000000002,3.537484982300278e-05,1.2684607104413346,1.697284453496266,2.152938643702906,0.0002153,3.5934670000000007e-09,0.0001743,1.2513799999999997e-09,1.3402633402633402,0.05243448488212078,1.8579470506270321,0.14141637551582203,2.2949856569133678,0.1771355848283391,1,0.0,0.0
SAXPY,200008,no_tail_8x,misaligned,1,0.00024928,8.191042058248755e-05,0.00016164,2.2683540288059093e-05,1.5421925266023262,1.6046854942233633,2.474733976738431,0.000231,6.709317e-09,0.0001583,5.14543e-10,1.41566265060241,0.2501091615117327,1.7316709956709957,0.258302714226897,2.5269488313329123,0.10370105452697749,1,0.0,0.0
SAXPY,200003,tail,aligned,0,0.00024142,6.463023286357555e-05,0.0001905,4.250488207253373e-05,1.2672965879265092,1.6568884102394168,2.0997690288713913,0.0002075,4.177067e-09,0.0001789,1.8066649999999994e-09,1.2556162720097148,0.27051865438999695,1.9277397590361445,0.14920007750261258,2.2359195081050864,0.15162505825710712,1,0.0,0.0
SAXPY,200003,tail,misaligned,1,0.00022292,4.442861690397306e-05,0.00016472,1.6782341910472448e-05,1.3533268576979114,1.79439260721335,2.428399708596406,0.0002325,1.973902e-09,0.0001572,2.81647e-10,1.3010632344711808,0.13057501308669872,1.7204559139784947,0.1454236215366239,2.5445674300254453,0.06001418797674294,1,0.0,0.0
Dot,200000,no_tail_16x,aligned,0,0.0003561,1.2179490958164048e-05,0.00016022,1.348617810945711e-05,2.222568967669454,1.1232799775344005,2.4965672200724005,0.0003515,1.483399999999998e-10,0.0001652,1.8187700000000018e-10,2.2615012106537526,0.03316706405080642,1.1379800853485065,0.0014323830707211884,2.4213075060532687,0.048107579189291295,1,0.0,0.0
Dot,200000,no_tail_16x,misaligned,1,0.00036642,2.5057374164105854e-05,0.00015754,2.7328428421700354e-05,2.3258854893995173,1.0916434692429453,2.539037704709915,0.0003588,6.278719999999995e-10,0.0001495,7.468429999999998e-10,2.6260053619302948,0.20133722515918115,1.1148272017837235,0.005461520582077858,2.6755852842809364,0.22957972018719341,1,0.0,0.0
Dot,200008,no_tail_8x,aligned,0,0.00036308,4.2212403390472815e-05,0.00016366,3.2196086718730275e-05,2.2185017719662716,1.1017296463589292,2.444189172675058,0.0003466,1.7818870000000006e-09,0.0001801,1.036588e-09,2.2527020072053525,0.19143279966638968,1.1541142527409116,0.012765033066725044,2.2210771793448085,0.28869786065483505,1,0.0,0.0
Dot,200008,no_tail_8x,misaligned,1,0.00035792,2.167330154821826e-05,0.00016346,6.720787156278646e-05,2.1896488437538237,1.1176128743853375,2.4471797381622413,0.0003623,4.69732e-10,0.0001494,4.516898e-09,2.364503816793893,0.6005887621788751,1.1041015732818107,0.00464004651255735,2.677483266398929,0.6914882305292781,1,0.0,0.0
