kernel,N,tail_kind,alignment,offset,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,runtime_scalar_median,runtime_scalar_var,runtime_simd_median,runtime_simd_var,speedup_median,speedup_var,gflops_scalar_median,gflops_scalar_var,gflops_simd_median,gflops_simd_var,validated,abs_err,rel_err
SAXPY,200000,no_tail_16x,aligned,0,0.0001936,2.3561303019994452e-05,0.00016963999999999998,1.653777494102517e-05,1.1412402735203961,2.0661157024793386,2.3579344494223067,0.0001907,5.551349999999998e-10,0.0001649,2.7349800000000007e-10,1.13579511614056,0.03196560695689822,2.097535395909806,0.06478883363366975,2.425712553062462,0.04368203016948893,1,0.0,0.0
SAXPY,200000,no_tail_16x,misaligned,1,0.0001835,2.153740931495708e-05,0.00015668,2.116121452091065e-05,1.1711769211130967,2.1798365122615806,2.552974214960429,0.0001761,4.638600000000001e-10,0.000159,4.4779699999999987e-10,1.2,0.04383689540045544,2.271436683702442,0.06468147149074209,2.5157232704402515,0.12700951527753535,1,0.0,0.0
SAXPY,200008,no_tail_8x,aligned,0,0.0002251,5.735054489714986e-05,0.00016112,2.4656479878522806e-05,1.397095332671301,1.7770590848511774,2.482720953326713,0.0002115,3.289085000000002e-09,0.0001676,6.07942e-10,1.3977695167286246,0.09548155297995949,1.8913286052009457,0.18873058248738583,2.38673031026253,0.15082350241128964,1,0.0,0.0
SAXPY,200008,no_tail_8x,misaligned,1,0.00019456,2.1230120112707793e-05,0.00017054,1.3303495781184732e-05,1.1408467221766154,2.056003289473684,2.3455846135803915,0.0001844,4.5071799999999995e-10,0.0001713,1.7698299999999994e-10,1.1213903743315508,0.0040376345964546,2.169284164859002,0.04675999256692627,2.33517805020432,0.033663448882981346,1,0.0,0.0
SAXPY,200003,tail,aligned,0,0.00020218,4.048249004199222e-05,0.00017626000000000002,4.566692457348097e-05,1.147055486213548,1.9784647343950934,2.269408827867922,0.0001933,1.638831999999999e-09,0.0001755,2.085468e-09,1.0717547292889757,0.06733670070130741,2.069353336782204,0.12163044173857405,2.2792364672364673,0.42516163377940136,1,0.0,0.0
SAXPY,200003,tail,misaligned,1,0.00018932,1.8824239692481603e-05,0.0001555,1.1710465404927341e-05,1.217491961414791,2.112856539192901,2.572385852090032,0.0001856,3.5435199999999983e-10,0.0001597,1.371350000000001e-10,1.1925976696367375,0.005899257349073469,2.1552047413793103,0.03811897295383039,2.504733876017533,0.03994103747313891,1,0.0,0.0
Dot,200000,no_tail_16x,aligned,0,0.00036386,2.7044555829223736e-05,0.00014157999999999998,2.231282142625625e-05,2.569995762113293,1.099323915791788,2.825257804774686,0.0003606,7.314079999999995e-10,0.000155,4.978620000000001e-10,2.469059405940594,0.23926897791650276,1.1092623405435384,0.006562332642176672,2.5806451612903225,0.2401757656716803,1,0.0,0.0
Dot,200000,no_tail_16x,misaligned,1,0.0003625,2.2716733920174336e-05,0.00015654,1.3508071661047701e-05,2.315702056982241,1.103448275862069,2.5552574421873,0.0003634,5.160499999999993e-10,0.0001535,1.8246800000000003e-10,2.2584269662921352,0.06118626629459574,1.100715465052284,0.0046879497533129765,2.6058631921824102,0.041689416482893656,1,0.0,0.0
Dot,200008,no_tail_8x,aligned,0,0.00034862,1.3930613769680078e-05,0.00017044,5.782255615242205e-05,2.045411875146679,1.147426997877345,2.346960807322225,0.0003446,1.9406200000000017e-10,0.0001493,3.343448000000001e-09,2.2612190221031483,0.24112906141928553,1.1608125362739408,0.002066442403377798,2.6792766242464836,0.3668653183889314,1,0.0,0.0
Dot,200008,no_tail_8x,misaligned,1,0.0003582,2.907025971676208e-05,0.00013312,2.5897335770306568e-05,2.6908052884615383,1.1167392518146286,3.0049278846153844,0.0003385,8.450800000000001e-10,0.0001198,6.70672e-10,2.9307359307359304,0.25715981661013954,1.1817311669128507,0.00783910010410979,3.3390317195325543,0.30387144436714963,1,0.0,0.0
