kernel,cache_region,N,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,runtime_scalar_median,runtime_scalar_var,runtime_simd_median,runtime_simd_var,speedup_median,speedup_var,gflops_scalar_median,gflops_scalar_var,gflops_simd_median,gflops_simd_var,validated,rtol,atol,abs_err,rel_err
SAXPY,L1_mid,3072,2.900000e-06,0.000000e+00,1.366667e-06,5.773503e-08,2.122,2.119,4.496,2.900000e-06,0.000000e+00,1.400000e-06,3.333333e-15,2.071,8.463149e-03,2.119,0.000000e+00,4.389,3.798730e-02,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,L2_mid,84992,1.142667e-04,1.814727e-05,6.906667e-05,8.951164e-06,1.654,1.488,2.461,1.058000e-04,3.293233e-10,6.620000e-05,8.012333e-11,1.708,9.555857e-03,1.607,4.887388e-02,2.568,9.395669e-02,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,L3_mid,1654784,2.025367e-03,9.348456e-05,1.692367e-03,1.587622e-04,1.197,1.634,1.956,1.991800e-03,8.739363e-09,1.664000e-03,2.520542e-08,1.197,2.678115e-02,1.662,5.469244e-03,1.989,3.267951e-02,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,DRAM_mid,15728640,2.110447e-02,1.043927e-03,1.883823e-02,7.979266e-04,1.120,1.491,1.670,2.063870e-02,1.089784e-06,1.885100e-02,6.366869e-07,1.136,1.194517e-03,1.524,5.177094e-03,1.669,5.033955e-03,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,L1_mid,3072,9.166667e-06,6.870468e-06,1.433333e-06,5.773503e-08,6.395,0.670,4.287,5.200000e-06,4.720333e-11,1.400000e-06,3.333333e-15,3.714,1.969007e+01,1.182,2.253597e-01,4.389,2.853268e-02,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,L2_mid,84992,1.636333e-04,1.088868e-05,5.700000e-05,1.073872e-05,2.871,1.039,2.982,1.577000e-04,1.185633e-10,5.440000e-05,1.153200e-10,2.899,4.953744e-01,1.078,4.458361e-03,3.125,2.986799e-01,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,L3_mid,1654784,3.146433e-03,8.027480e-05,1.830267e-03,2.207614e-04,1.719,1.052,1.808,3.156500e-03,6.444043e-09,1.943000e-03,4.873560e-08,1.634,3.282540e-02,1.048,7.280668e-04,1.703,5.598868e-02,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,DRAM_mid,15728640,3.038770e-02,2.533393e-03,1.687833e-02,1.681472e-03,1.800,1.035,1.864,2.900990e-02,6.418081e-06,1.648720e-02,2.827348e-06,1.779,4.719814e-03,1.084,6.843858e-03,1.908,3.295870e-02,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,L1_mid,2048,2.000000e-06,1.732051e-07,1.100000e-06,0.000000e+00,1.818,1.024,1.862,1.900000e-06,3.000000e-14,1.100000e-06,0.000000e+00,1.727,2.479339e-02,1.078,7.201593e-03,1.862,0.000000e+00,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,L2_mid,56661,6.040000e-05,9.279547e-06,9.746667e-05,6.277869e-05,0.620,0.938,0.581,5.700000e-05,8.611000e-11,7.710000e-05,3.941163e-09,0.739,1.236573e-01,0.994,1.872999e-02,0.735,1.843340e-01,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,L3_mid,1103189,1.674367e-03,9.343759e-05,1.512700e-03,6.018895e-05,1.107,0.659,0.729,1.681200e-03,8.730583e-09,1.478100e-03,3.622710e-09,1.115,1.270510e-03,0.656,1.378361e-03,0.746,8.062908e-04,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,DRAM_mid,10485760,1.708113e-02,2.516746e-04,1.798280e-02,7.901642e-04,0.950,0.614,0.583,1.711410e-02,6.334010e-08,1.804950e-02,6.243595e-07,0.948,7.810191e-04,0.613,8.231832e-05,0.581,6.667119e-04,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,L1_mid,3072,4.000000e-06,0.000000e+00,2.600000e-06,0.000000e+00,1.538,2.304,3.545,4.000000e-06,0.000000e+00,2.600000e-06,0.000000e+00,1.538,0.000000e+00,2.304,0.000000e+00,3.545,0.000000e+00,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,L2_mid,84992,1.026667e-04,1.140716e-05,5.520000e-05,1.014889e-06,1.860,2.484,4.619,9.780000e-05,1.301233e-10,5.500000e-05,1.030000e-12,1.778,5.646170e-02,2.607,6.923338e-02,4.636,7.142668e-03,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,L3_mid,1654784,2.682067e-03,4.508546e-04,3.223933e-03,1.175119e-03,0.832,1.851,1.540,2.502700e-03,2.032699e-07,3.130000e-03,1.380905e-06,1.021,8.798374e-02,1.984,8.589297e-02,1.586,3.975860e-01,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,DRAM_mid,15728640,2.725487e-02,8.150823e-03,1.924920e-02,1.259025e-03,1.416,1.731,2.451,2.256810e-02,6.643591e-05,1.867780e-02,1.585143e-06,1.206,2.423557e-01,2.091,2.163901e-01,2.526,2.412656e-02,1,1e-05,1e-07,0.000e+00,0.000e+00
