kernel,N,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,cpe_scalar,cpe_simd,validated,rtol,atol,abs_err,rel_err
SAXPY,768,5.666667e-07,1.154701e-07,5.000000e-07,1.000000e-07,1.133,2.711,3.072,1.842,1.625,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,1002,9.000000e-07,0.000000e+00,5.333333e-07,2.081666e-07,1.687,2.227,3.757,2.242,1.329,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,1308,1.033333e-06,5.773503e-08,7.666667e-07,1.527525e-07,1.348,2.532,3.412,1.972,1.463,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,1708,1.600000e-06,0.000000e+00,1.166667e-06,5.773503e-08,1.371,2.135,2.928,2.338,1.705,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,2230,1.433333e-06,5.773503e-08,9.666667e-07,5.773503e-08,1.483,3.112,4.614,1.604,1.082,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,2912,1.900000e-06,0.000000e+00,1.200000e-06,0.000000e+00,1.583,3.065,4.853,1.629,1.029,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,3802,2.733333e-06,3.055050e-07,1.666667e-06,5.773503e-08,1.640,2.782,4.562,1.794,1.094,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,4963,3.233333e-06,1.527525e-07,1.900000e-06,0.000000e+00,1.702,3.070,5.224,1.626,0.956,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,6480,4.333333e-06,5.773503e-08,2.733333e-06,5.773503e-08,1.585,2.991,4.741,1.669,1.053,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,8460,5.233333e-06,5.773503e-08,3.166667e-06,5.773503e-08,1.653,3.233,5.343,1.544,0.934,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,11045,6.766667e-06,5.773503e-08,4.133333e-06,5.773503e-08,1.637,3.265,5.344,1.529,0.934,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,14419,9.100000e-06,3.000000e-07,5.366667e-06,5.773503e-08,1.696,3.169,5.374,1.575,0.929,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,18824,1.533333e-05,2.836077e-06,9.500000e-06,1.835756e-06,1.614,2.455,3.963,2.033,1.260,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,24576,1.796667e-05,2.793445e-06,1.523333e-05,8.288747e-06,1.179,2.736,3.227,1.825,1.547,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,32084,2.470000e-05,1.732051e-07,1.520000e-05,8.660254e-07,1.625,2.598,4.222,1.922,1.182,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,41886,3.326667e-05,2.409011e-06,1.866667e-05,1.700980e-06,1.782,2.518,4.488,1.982,1.112,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,54683,5.903333e-05,1.039631e-05,3.173333e-05,7.159143e-06,1.860,1.853,3.446,2.695,1.448,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,71389,8.670000e-05,2.759909e-05,5.616667e-05,1.580675e-05,1.544,1.647,2.542,3.031,1.964,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,93199,1.211000e-04,3.509288e-05,1.078667e-04,4.091043e-05,1.123,1.539,1.728,3.243,2.889,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,121673,1.556000e-04,6.778879e-05,8.116667e-05,9.078730e-06,1.917,1.564,2.998,3.192,1.665,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,158846,1.402667e-04,1.487358e-05,1.483667e-04,3.136405e-05,0.945,2.265,2.141,2.204,2.331,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,207375,1.906667e-04,9.602777e-06,2.119667e-04,7.258060e-05,0.900,2.175,1.957,2.295,2.551,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,270731,2.937333e-04,7.083264e-05,2.185000e-04,1.643259e-05,1.344,1.843,2.478,2.708,2.014,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,353442,4.108000e-04,2.924876e-05,2.419667e-04,9.325413e-06,1.698,1.721,2.921,2.901,1.709,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,461423,6.268333e-04,4.585001e-05,4.324667e-04,2.823231e-05,1.449,1.472,2.134,3.391,2.339,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,602393,6.921000e-04,8.378759e-05,5.719667e-04,6.130305e-05,1.210,1.741,2.106,2.868,2.370,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,786431,9.532000e-04,2.604020e-04,7.628333e-04,1.960251e-04,1.250,1.650,2.062,3.025,2.421,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,1026696,1.201967e-03,1.385130e-04,8.726667e-04,1.185810e-04,1.377,1.708,2.353,2.922,2.122,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,1340363,1.551067e-03,1.676435e-04,1.095833e-03,1.368045e-04,1.415,1.728,2.446,2.888,2.041,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,1749860,2.165133e-03,1.805681e-04,1.836933e-03,2.607950e-04,1.179,1.616,1.905,3.088,2.620,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,2284463,2.780000e-03,3.767065e-04,2.584433e-03,1.208458e-04,1.076,1.643,1.768,3.037,2.824,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,2982393,3.577900e-03,1.623538e-04,3.566200e-03,6.836948e-04,1.003,1.667,1.673,2.994,2.985,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,3893550,4.800167e-03,8.859940e-05,4.422367e-03,2.312176e-04,1.085,1.622,1.761,3.077,2.835,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,5083075,6.393400e-03,5.815058e-05,6.190400e-03,5.734545e-04,1.033,1.590,1.642,3.139,3.040,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,6636014,8.099300e-03,1.590123e-04,7.372933e-03,1.101446e-04,1.099,1.639,1.800,3.046,2.773,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,8663394,1.114127e-02,5.246813e-04,1.016117e-02,1.874909e-04,1.096,1.555,1.705,3.210,2.928,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,11310162,1.405553e-02,1.429767e-04,1.368713e-02,5.104091e-04,1.027,1.609,1.653,3.102,3.021,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,14765549,1.853707e-02,3.491204e-04,1.872553e-02,7.993876e-04,0.990,1.593,1.577,3.134,3.165,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,19276597,2.428587e-02,5.401667e-04,2.320000e-02,7.762943e-04,1.047,1.587,1.662,3.145,3.004,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,25165823,3.155133e-02,4.591639e-04,2.967677e-02,3.893817e-04,1.063,1.595,1.696,3.129,2.943,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,768,1.366667e-06,5.773503e-08,3.333333e-07,5.773503e-08,4.100,1.124,4.608,4.442,1.083,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,1002,1.700000e-06,0.000000e+00,6.666667e-07,1.527525e-07,2.550,1.179,3.006,4.235,1.661,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,1308,2.266667e-06,5.773503e-08,6.333333e-07,5.773503e-08,3.579,1.154,4.131,4.325,1.209,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,1708,2.900000e-06,0.000000e+00,7.333333e-07,5.773503e-08,3.955,1.178,4.658,4.238,1.072,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,2230,3.733333e-06,5.773503e-08,1.033333e-06,5.773503e-08,3.613,1.195,4.316,4.179,1.157,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,2912,5.000000e-06,1.732051e-07,1.266667e-06,5.773503e-08,3.947,1.165,4.598,4.286,1.086,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,3802,1.273333e-05,1.079691e-05,1.700000e-06,0.000000e+00,7.490,0.597,4.473,8.359,1.116,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,4963,8.433333e-06,1.527525e-07,2.133333e-06,5.773503e-08,3.953,1.177,4.653,4.241,1.073,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,6480,1.086667e-05,5.773503e-08,2.800000e-06,0.000000e+00,3.881,1.193,4.629,4.186,1.079,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,8460,1.423333e-05,5.773503e-08,3.566667e-06,5.773503e-08,3.991,1.189,4.744,4.199,1.052,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,11045,1.893333e-05,3.785939e-07,4.666667e-06,5.773503e-08,4.057,1.167,4.734,4.279,1.055,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,14419,2.420000e-05,1.732051e-07,6.100000e-06,0.000000e+00,3.967,1.192,4.728,4.189,1.056,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,18824,3.150000e-05,0.000000e+00,7.966667e-06,1.154701e-07,3.954,1.195,4.726,4.177,1.056,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,24576,4.123333e-05,2.309401e-07,1.036667e-05,5.773503e-08,3.977,1.192,4.741,4.188,1.053,1,1e-05,1e-07,0.000e+00,0.000e+00
