kernel,N,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,cpe_scalar,cpe_simd,validated,rtol,atol,abs_err,rel_err
SAXPY,768,5.666667e-07,1.154701e-07,4.333333e-07,1.154701e-07,1.308,2.711,3.545,1.842,1.408,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,1002,9.000000e-07,1.000000e-07,6.666667e-07,1.527525e-07,1.350,2.227,3.006,2.242,1.661,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,1308,1.066667e-06,2.081666e-07,8.000000e-07,1.000000e-07,1.333,2.452,3.270,2.035,1.527,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,1708,1.700000e-06,0.000000e+00,1.100000e-06,1.000000e-07,1.545,2.009,3.105,2.484,1.607,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,2230,1.900000e-06,3.464102e-07,1.100000e-06,2.000000e-07,1.727,2.347,4.055,2.127,1.231,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,2912,2.600000e-06,6.082763e-07,1.266667e-06,1.154701e-07,2.053,2.240,4.598,2.229,1.086,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,3802,2.733333e-06,6.658328e-07,1.433333e-06,5.773503e-08,1.907,2.782,5.305,1.794,0.941,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,4963,3.433333e-06,6.658328e-07,1.900000e-06,0.000000e+00,1.807,2.891,5.224,1.727,0.956,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,6480,4.566667e-06,2.886751e-07,2.666667e-06,5.773503e-08,1.712,2.838,4.860,1.759,1.027,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,8460,6.066667e-06,1.331666e-06,3.166667e-06,5.773503e-08,1.916,2.789,5.343,1.790,0.934,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,11045,8.600000e-06,2.457641e-06,4.233333e-06,3.214550e-07,2.031,2.569,5.218,1.943,0.957,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,14419,8.900000e-06,0.000000e+00,5.300000e-06,0.000000e+00,1.679,3.240,5.441,1.541,0.917,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,18824,1.166667e-05,1.527525e-07,1.100000e-05,4.014972e-06,1.061,3.227,3.423,1.547,1.459,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,24576,1.986667e-05,5.582413e-06,1.080000e-05,6.000000e-07,1.840,2.474,4.551,2.018,1.097,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,32084,4.153333e-05,9.410809e-06,1.726667e-05,1.386843e-06,2.405,1.545,3.716,3.231,1.343,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,41886,4.193333e-05,1.328546e-05,2.250000e-05,4.300000e-06,1.864,1.998,3.723,2.499,1.341,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,54683,5.686667e-05,1.279857e-05,3.953333e-05,1.648343e-05,1.438,1.923,2.766,2.596,1.804,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,71389,6.906667e-05,5.392897e-06,5.850000e-05,1.586411e-05,1.181,2.067,2.441,2.415,2.045,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,93199,1.216667e-04,2.029885e-05,1.164667e-04,6.127066e-05,1.045,1.532,1.600,3.258,3.119,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,121673,1.330667e-04,9.473296e-06,1.252667e-04,3.000139e-05,1.062,1.829,1.943,2.730,2.570,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,158846,1.848333e-04,4.910777e-05,1.316000e-04,7.975588e-06,1.405,1.719,2.414,2.904,2.068,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,207375,2.196667e-04,7.234890e-05,1.606000e-04,6.063102e-05,1.368,1.888,2.583,2.644,1.933,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,270731,3.015000e-04,2.337071e-05,2.026000e-04,4.034464e-05,1.488,1.796,2.673,2.780,1.868,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,353442,3.578997e-04,1.263729e-05,2.311000e-04,4.409841e-05,1.549,1.975,3.059,2.527,1.632,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,461423,3.989667e-04,2.627096e-05,3.699667e-04,1.142407e-04,1.078,2.313,2.494,2.158,2.001,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,602393,5.247000e-04,5.668360e-05,5.345997e-04,1.239112e-04,0.981,2.296,2.254,2.174,2.215,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,786431,8.070333e-04,2.286519e-04,6.756663e-04,6.065051e-05,1.194,1.949,2.328,2.561,2.144,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,1026696,1.212267e-03,1.173831e-04,9.361333e-04,6.705940e-05,1.295,1.694,2.193,2.947,2.276,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,1340363,1.480833e-03,3.435700e-05,1.349667e-03,8.894320e-05,1.097,1.810,1.986,2.758,2.513,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,1749860,2.040500e-03,1.538603e-05,1.739467e-03,1.890541e-04,1.173,1.715,2.012,2.911,2.481,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,2284463,2.868000e-03,4.643806e-04,2.646100e-03,2.342662e-04,1.084,1.593,1.727,3.134,2.891,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,2982393,3.587800e-03,9.757402e-05,3.654300e-03,3.875517e-04,0.982,1.663,1.632,3.003,3.058,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,3893550,4.852400e-03,8.209580e-05,4.361367e-03,2.611816e-04,1.113,1.605,1.785,3.111,2.796,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,5083075,6.482267e-03,1.786786e-04,5.865700e-03,4.607455e-04,1.105,1.568,1.733,3.183,2.880,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,6636014,8.385067e-03,2.409912e-04,8.061033e-03,4.185976e-04,1.040,1.583,1.646,3.154,3.032,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,8663394,1.127753e-02,4.913769e-04,1.079833e-02,4.659299e-04,1.044,1.536,1.605,3.249,3.111,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,11310162,1.410483e-02,4.479458e-04,1.461020e-02,1.546143e-03,0.965,1.604,1.548,3.113,3.224,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,14765549,1.870840e-02,5.949597e-05,1.859053e-02,7.113920e-04,1.006,1.578,1.589,3.163,3.143,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,19276597,2.495120e-02,1.069719e-03,2.370097e-02,1.269532e-03,1.053,1.545,1.627,3.231,3.069,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,25165823,3.250563e-02,1.345316e-03,3.114040e-02,1.630913e-03,1.044,1.548,1.616,3.224,3.089,1,1e-05,1e-07,0.000e+00,0.000e+00
