rep,N,runtime_ms,cache_refs,cache_misses,miss_rate
1,262144,0.2281,123491,20891,0.169170
1,8192,0.0076,25873,15037,0.581185
1,65536,0.0550,27430,15059,0.548997
1,6291456,8.2381,2287277,1206696,0.527569
1,1024,0.0011,25918,15921,0.614284
1,2097152,2.3107,774081,344075,0.444495
1,67108864,65.0405,22787747,8244097,0.361778
1,16777216,16.8227,5803759,2085653,0.359362
2,65536,0.0550,27212,17512,0.643540
2,16777216,16.0736,5702636,2055506,0.360448
2,1024,0.0012,25501,9453,0.370691
2,6291456,6.9297,2287761,1161519,0.507710
2,2097152,1.9278,775473,248748,0.320769
2,8192,0.0076,26976,15268,0.565985
2,262144,0.2201,124609,27064,0.217191
2,67108864,64.3111,22901156,8401886,0.366876
3,262144,0.3110,123156,17731,0.143972
3,1024,0.0011,25994,17138,0.659306
3,67108864,64.6776,22829878,8225353,0.360289
3,65536,0.0550,26288,10007,0.380668
3,8192,0.0076,25360,9425,0.371648
3,16777216,16.1053,5730328,2026677,0.353676
3,6291456,6.9158,2244649,968694,0.431557
3,2097152,1.8828,798068,172076,0.215616
4,262144,0.2238,122175,21225,0.173726
4,1024,0.0012,26518,13641,0.514405
4,67108864,66.2000,22922414,8468040,0.369422
4,8192,0.0076,25571,9043,0.353643
4,6291456,6.2371,2191170,897697,0.409688
4,65536,0.0551,26693,14446,0.541191
4,16777216,16.0531,5761300,2131153,0.369908
4,2097152,2.0249,794962,159121,0.200162
5,65536,0.0550,26409,9378,0.355106
5,67108864,70.6194,23535472,8531776,0.362507
5,262144,0.2527,122752,23148,0.188575
5,8192,0.0075,27071,16757,0.619002
5,1024,0.0011,25674,16743,0.652138
5,2097152,2.2784,787001,366967,0.466285
5,6291456,12.4801,2275285,1126035,0.494898
5,16777216,16.2674,5955286,2145547,0.360276
6,8192,0.0092,26327,16633,0.631785
6,16777216,16.3816,5757397,2078410,0.360998
6,65536,0.0551,26337,8722,0.331169
6,6291456,6.6500,2274420,996662,0.438205
6,262144,0.2235,123723,22268,0.179983
6,67108864,64.8260,22782521,8237325,0.361563
6,2097152,1.9909,766225,243339,0.317582
6,1024,0.0012,26291,14348,0.545738
7,65536,0.0551,26800,10854,0.405000
7,2097152,2.2116,776988,291177,0.374751
7,16777216,17.7257,5842300,2201133,0.376758
7,1024,0.0012,25937,11260,0.434129
7,6291456,6.7148,2262028,1017092,0.449637
7,8192,0.0076,25824,13943,0.539924
7,67108864,64.9274,22664589,8082423,0.356610
7,262144,0.2203,122731,21457,0.174830
8,8192,0.0076,25882,9316,0.359941
8,67108864,64.4932,23006052,8478129,0.368517
8,2097152,1.9872,797281,150939,0.189317
8,16777216,16.4687,5796775,2075556,0.358054
8,6291456,6.1856,2242007,862147,0.384543
8,262144,0.2553,120800,16443,0.136118
8,1024,0.0011,25903,7466,0.288229
8,65536,0.0550,28837,19384,0.672192
9,65536,0.0550,32517,23339,0.717748
9,6291456,8.0693,2296981,1115639,0.485698
9,1024,0.0014,26059,16826,0.645689
9,2097152,3.3176,785011,437033,0.556722
9,8192,0.0076,26318,15066,0.572460
9,67108864,64.7186,22801629,8256588,0.362105
9,16777216,16.8389,5834853,2102388,0.360316
9,262144,0.2301,123001,28575,0.232315
10,2097152,2.1586,770608,275242,0.357175
10,16777216,17.8805,5948277,2363989,0.397424
10,67108864,67.7194,23144696,8570652,0.370307
10,1024,0.0011,25946,13675,0.527056
10,262144,0.2212,120437,22085,0.183374
10,8192,0.0136,27420,17139,0.625055
10,65536,0.0551,27896,17515,0.627868
10,6291456,6.7974,2255955,1001871,0.444101
