rep,pattern,stride,runtime_ms,cache_refs,cache_misses,miss_rate
1,stride,1,16.4796,5398562,1745303,0.323290
1,stride,256,1.5070,2252662,862049,0.382680
1,stride,128,3.0979,2525699,1131838,0.448129
1,stride,2,11.3297,5702552,2359141,0.413699
1,stride,4,10.0584,5724848,2752626,0.480821
1,stride,512,0.8096,2103357,707490,0.336362
1,random,,1345.4600,119717709,82398852,0.688276
1,stride,2048,0.2855,2003494,622858,0.310886
1,stride,4096,0.1307,1991896,602783,0.302618
1,stride,1024,0.4533,2007907,618443,0.308004
1,stride,16,11.3327,5887453,3641215,0.618470
1,stride,8,9.9196,5902141,3274314,0.554767
1,stride,32,11.4252,4208505,2827957,0.671962
1,stride,64,6.3075,3112217,1726353,0.554702
2,stride,2048,0.2331,1996784,607492,0.304235
2,stride,256,1.7412,2271582,882537,0.388512
2,stride,512,0.8366,2044894,656137,0.320866
2,stride,64,5.8952,3064425,1642711,0.536058
2,random,,1418.3100,121113465,87498056,0.722447
2,stride,8,10.2595,5810573,3197155,0.550231
2,stride,1,17.2354,5815002,2086450,0.358805
2,stride,4096,0.1273,1960602,576748,0.294169
2,stride,1024,0.5162,2013893,631161,0.313403
2,stride,2,11.0997,5661616,2336956,0.412772
2,stride,128,3.0670,2486284,1093542,0.439830
2,stride,32,11.2059,4158219,2728377,0.656141
2,stride,16,11.6791,5806856,3553911,0.612020
2,stride,4,9.4324,5707681,2893312,0.506916
3,stride,1,16.7270,5598705,1906913,0.340599
3,stride,4,9.3004,5707272,2856737,0.500543
3,stride,512,0.7849,2093092,706663,0.337617
3,stride,64,6.1432,3078501,1652345,0.536737
3,stride,128,3.2991,2462959,1065737,0.432706
3,stride,1024,0.5007,1977680,592076,0.299379
3,stride,256,1.7281,2221806,831180,0.374101
3,stride,32,11.0564,4159551,2761959,0.664004
3,stride,2,11.1350,5678535,2361297,0.415829
3,stride,4096,0.1312,1981486,595330,0.300446
3,stride,2048,0.2641,1976850,580980,0.293892
3,stride,16,10.6506,5999374,3758907,0.626550
3,random,,1346.0100,120592561,80990676,0.671606
3,stride,8,11.1353,5564373,2989312,0.537224
4,stride,1024,0.4734,2030990,644565,0.317365
4,stride,2,10.7029,5639235,2382300,0.422451
4,stride,128,2.9400,2496015,1091960,0.437481
4,stride,8,10.7341,5730036,3139933,0.547978
4,stride,1,16.0950,5720444,2068519,0.361601
4,stride,256,1.6428,2255628,864190,0.383126
4,stride,4096,0.1302,1981714,583469,0.294426
4,stride,16,11.8353,5859058,3601209,0.614640
4,random,,1340.2400,119890733,82576484,0.688765
4,stride,2048,0.2623,2001855,592425,0.295938
4,stride,64,5.8208,3081416,1648852,0.535096
4,stride,512,0.7971,2097527,700342,0.333889
4,stride,4,9.8722,5677836,2823113,0.497216
4,stride,32,11.6667,4167319,2687767,0.644963
5,stride,128,2.8708,2498972,1091415,0.436746
5,stride,4096,0.1311,1991174,584536,0.293563
5,stride,1024,0.4409,1991658,611836,0.307199
5,stride,2048,0.2363,1994269,600582,0.301154
5,stride,2,10.9867,5701726,2378482,0.417151
5,stride,4,9.5460,5708649,2773773,0.485890
5,stride,8,10.4088,5835005,3225932,0.552858
5,random,,1352.3300,120844099,82737212,0.684661
5,stride,1,16.4509,5696935,2083879,0.365789
5,stride,512,0.7981,2110107,702517,0.332930
5,stride,256,1.5760,2261687,848677,0.375241
5,stride,16,11.5251,5834174,3581062,0.613808
5,stride,32,11.2914,4169804,2699522,0.647398
5,stride,64,5.8680,3080021,1659785,0.538888
