rep,stride,iters,runtime_ms,cache_refs,cache_misses,miss_rate
1,1,4,297.0700,13196088,4956033,0.375568
1,31,4,1020.4400,218468822,188909460,0.864698
1,17,4,703.6000,167954417,123893543,0.737662
1,9,4,354.0770,88159000,53122701,0.602578
1,5,4,311.6940,50527635,21860901,0.432652
1,3,4,302.9980,31721924,9960710,0.314001
2,31,4,1034.7100,210885446,172301244,0.817037
2,3,4,303.3180,31367724,10035636,0.319935
2,17,4,697.6740,166278484,117300296,0.705445
2,1,4,298.4790,12662175,4404809,0.347871
2,9,4,359.7830,86421148,48858980,0.565359
2,5,4,310.3410,50307773,21566977,0.428701
3,17,4,723.2800,166223990,117336436,0.705894
3,1,4,298.1310,12718988,4410533,0.346768
3,9,4,350.6420,86704432,50341031,0.580605
3,31,4,995.5810,214170017,176487053,0.824051
3,5,4,309.2670,50320009,21541075,0.428082
3,3,4,302.3860,31514153,10072252,0.319610
4,3,4,301.5150,31770620,10310188,0.324520
4,17,4,699.1910,165512978,116966039,0.706688
4,31,4,1010.4400,214685024,176448772,0.821896
4,1,4,298.1200,12726918,4427294,0.347869
4,9,4,359.2600,86737642,49876163,0.575023
4,5,4,308.8170,50443070,21254585,0.421358
5,3,4,304.6100,31869358,10318237,0.323767
5,17,4,702.3310,166763104,119179342,0.714663
5,9,4,350.2960,86043430,49703479,0.577656
5,1,4,299.5130,12674414,4376608,0.345310
5,31,4,978.3570,215483666,175145166,0.812800
5,5,4,312.1050,50758687,22195755,0.437280
