rep,intensity,latency_ns,bandwidth_MBps
1,low,57.59,16117.80
1,very_low,53.08,9142.20
1,very_high,234.16,43855.40
1,medium,73.98,29220.10
1,high,188.34,43724.80
2,high,182.08,43329.80
2,very_low,59.47,8856.10
2,very_high,230.95,43978.60
2,medium,66.04,29238.90
2,low,58.92,16050.40
3,high,210.90,39012.40
3,very_high,304.74,33861.90
3,very_low,55.06,9004.80
3,medium,68.05,29120.90
3,low,60.34,15635.30
4,very_low,53.78,8975.80
4,high,186.89,42702.40
4,low,58.69,16024.10
4,very_high,311.41,32848.50
4,medium,86.34,26990.70
5,medium,75.67,28314.10
5,high,288.93,31229.20
5,low,55.89,16330.00
5,very_high,247.37,41493.80
5,very_low,56.22,8954.40
6,very_high,241.53,42591.80
6,high,284.12,30648.10
6,medium,91.07,26564.40
6,low,57.87,16173.00
6,very_low,57.32,8882.60
7,very_low,56.27,8938.70
7,high,190.72,43113.70
7,low,55.47,16329.60
7,very_high,235.45,43831.70
7,medium,88.48,26830.50
8,medium,100.75,25883.70
8,very_high,282.35,36438.90
8,low,57.33,16170.60
8,high,247.03,34830.00
8,very_low,63.52,8424.00
9,medium,95.34,25942.90
9,high,253.31,33963.10
9,very_high,308.19,34171.10
9,low,57.51,16138.90
9,very_low,56.17,8960.10
10,high,180.80,43656.00
10,low,57.93,16220.90
10,medium,70.44,29171.50
10,very_high,230.51,44106.10
10,very_low,53.34,9082.00
