rep,pattern,stride,latency_ns,bandwidth_MBps
1,random,64B,61.80,42711.70
1,random,1024B,153.40,11825.20
1,sequential,1024B,152.50,12119.10
1,sequential,64B,60.80,42767.40
1,sequential,256B,153.40,22933.10
1,random,256B,151.40,22655.40
2,sequential,256B,150.80,21986.10
2,random,256B,153.10,22148.50
2,random,64B,60.00,42505.30
2,sequential,1024B,154.70,12500.40
2,sequential,64B,59.20,42468.80
2,random,1024B,151.20,12102.00
3,sequential,64B,61.80,42523.50
3,sequential,1024B,155.10,12244.90
3,random,64B,60.70,42605.50
3,random,1024B,153.20,12407.50
3,sequential,256B,151.60,22709.20
3,random,256B,151.00,23104.80
