rep,huge,pattern,pages,passes,updates,runtime_ms,gflops,dtlb_load_misses,dtlb_store_misses,dtlb_walks_load,dtlb_walks_store,misses_per_ku,smaps_kb_before,smaps_kb_after,thp_effective
1,on,random,4096,12207,49999872,1468.7600,0.0681,,,,,0.000000,30720,30720,0
1,off,random,128,390625,50000000,464.8460,0.2151,,,,,0.000000,0,0,0
1,off,random,256,195312,49999872,612.5120,0.1633,,,,,0.000000,0,0,0
1,on,random,8192,6103,49995776,1660.3300,0.0602,,,,,0.000000,63488,63488,0
1,on,random,32768,1525,49971200,1969.6200,0.0507,,,,,0.000000,260096,260096,0
1,off,random,32768,1525,49971200,1990.3100,0.0502,,,,,0.000000,260096,260096,0
1,on,random,65536,762,49938432,2242.3100,0.0445,,,,,0.000000,522240,522240,0
1,on,random,1024,48828,49999872,733.1770,0.1364,,,,,0.000000,6144,6144,0
1,off,random,8192,6103,49995776,1788.5600,0.0559,,,,,0.000000,63488,63488,0
1,off,random,16384,3051,49987584,1779.0900,0.0562,,,,,0.000000,129024,129024,0
1,on,random,16384,3051,49987584,1782.3900,0.0561,,,,,0.000000,129024,129024,0
1,off,random,65536,762,49938432,2191.8000,0.0456,,,,,0.000000,522240,522240,0
1,on,random,2048,24414,49999872,1186.5200,0.0843,,,,,0.000000,14336,14336,0
1,on,random,512,97656,49999872,665.6980,0.1502,,,,,0.000000,2048,2048,0
1,off,random,4096,12207,49999872,1579.5900,0.0633,,,,,0.000000,30720,30720,0
1,on,random,131072,381,49938432,2871.3200,0.0348,,,,,0.000000,1046528,1046528,0
1,off,random,1024,48828,49999872,677.3220,0.1476,,,,,0.000000,6144,6144,0
1,off,random,512,97656,49999872,681.7390,0.1467,,,,,0.000000,2048,2048,0
1,on,random,256,195312,49999872,810.4240,0.1234,,,,,0.000000,0,0,0
1,off,random,131072,381,49938432,2848.4900,0.0351,,,,,0.000000,1046528,1046528,0
1,on,random,128,390625,50000000,489.1650,0.2044,,,,,0.000000,0,0,0
1,on,random,64,781250,50000000,468.3630,0.2135,,,,,0.000000,0,0,0
1,off,random,2048,24414,49999872,1395.9900,0.0716,,,,,0.000000,14336,14336,0
1,off,random,64,781250,50000000,467.5350,0.2139,,,,,0.000000,0,0,0
2,off,random,8192,6103,49995776,1744.6900,0.0573,,,,,0.000000,63488,63488,0
2,on,random,16384,3051,49987584,1794.5900,0.0557,,,,,0.000000,129024,129024,0
2,off,random,512,97656,49999872,692.6840,0.1444,,,,,0.000000,2048,2048,0
2,on,random,2048,24414,49999872,1152.4900,0.0868,,,,,0.000000,14336,14336,0
2,on,random,1024,48828,49999872,716.7680,0.1395,,,,,0.000000,6144,6144,0
2,on,random,512,97656,49999872,667.8710,0.1497,,,,,0.000000,2048,2048,0
2,on,random,128,390625,50000000,485.6110,0.2059,,,,,0.000000,0,0,0
2,on,random,8192,6103,49995776,1659.6400,0.0602,,,,,0.000000,63488,63488,0
2,on,random,32768,1525,49971200,1997.5400,0.0500,,,,,0.000000,260096,260096,0
2,on,random,64,781250,50000000,462.4220,0.2163,,,,,0.000000,0,0,0
2,off,random,65536,762,49938432,2263.2400,0.0441,,,,,0.000000,522240,522240,0
2,off,random,128,390625,50000000,460.9990,0.2169,,,,,0.000000,0,0,0
2,on,random,131072,381,49938432,2832.2400,0.0353,,,,,0.000000,1046528,1046528,0
2,off,random,32768,1525,49971200,2154.7100,0.0464,,,,,0.000000,260096,260096,0
2,on,random,4096,12207,49999872,1479.0300,0.0676,,,,,0.000000,30720,30720,0
2,off,random,16384,3051,49987584,1804.6000,0.0554,,,,,0.000000,129024,129024,0
2,off,random,64,781250,50000000,467.6410,0.2138,,,,,0.000000,0,0,0
2,off,random,1024,48828,49999872,700.1040,0.1428,,,,,0.000000,6144,6144,0
2,off,random,256,195312,49999872,614.5460,0.1627,,,,,0.000000,0,0,0
2,on,random,65536,762,49938432,2238.0500,0.0446,,,,,0.000000,522240,522240,0
2,off,random,4096,12207,49999872,1474.1100,0.0678,,,,,0.000000,30720,30720,0
2,off,random,131072,381,49938432,2834.6900,0.0352,,,,,0.000000,1046528,1046528,0
