numjobs,concurrency,rep,iops,mb_s,lat_avg_us,lat_p95_us,lat_p99_us
4,4,1,14359.68801,56.091796875,275.368962672,0.0,0.0
4,4,2,16825.439152,65.7236328125,236.276479056,0.0,0.0
4,4,3,17341.421953,67.7392578125,229.252079278,0.0,0.0
16,16,1,27183.59388,106.185546875,586.9180597569999,0.0,0.0
16,16,2,27094.093727,105.8359375,588.876319559,0.0,0.0
16,16,3,27176.294124,106.1572265625,587.0816001620001,0.0,0.0
2,2,1,11567.514416,45.185546875,171.65791117400002,0.0,0.0
2,2,2,11477.584081,44.833984375,172.98473723599997,0.0,0.0
2,2,3,11304.48985,44.1572265625,175.6990176,0.0,0.0
1,1,1,6379.720676,24.919921875,155.536224381,0.0,0.0
1,1,2,6313.322889,24.6611328125,157.201926739,0.0,0.0
1,1,3,6417.852738,25.0693359375,154.667591554,0.0,0.0
32,32,1,27444.118529,107.203125,1164.055318281,0.0,0.0
32,32,2,27288.580761,106.595703125,1170.636377389,0.0,0.0
32,32,3,27033.931071,105.6005859375,1181.636858146,0.0,0.0
8,8,1,24595.746808,96.076171875,323.70741491,0.0,0.0
8,8,2,24692.343589,96.4541015625,322.426870376,0.0,0.0
8,8,3,24963.301223,97.5126953125,318.934210607,0.0,0.0
