mix,rw,rep,iops,mb_s,lat_avg_us,lat_p95_us,lat_p99_us
100W,randwrite,1,5774.307523,22.5556640625,171.448105406,248.832,333.824
100W,randwrite,2,5878.570714,22.962890625,168.49627826699998,244.736,333.824
100W,randwrite,3,5882.803907,22.9794921875,168.45027835000002,242.688,325.632
100R,randread,1,6009.033032,23.47265625,164.784134066,232.448,309.248
100R,randread,2,6207.859738,24.2490234375,159.66586175499998,232.448,309.248
100R,randread,3,6144.161861,24.0,161.261424638,234.496,305.152
70/30,randrw,1,6177.960735000001,24.1318359375,160.45340229328917,236.544,329.728
70/30,randrw,2,6115.662811,23.8876953125,161.99684924981258,238.592,329.728
70/30,randrw,3,6142.161927,23.9921875,161.3073862896346,242.688,321.536
50/50,randrw,1,6145.3951529999995,24.00390625,161.25230946814318,238.592,313.344
50/50,randrw,2,6095.796807000001,23.810546875,162.48810222566746,238.592,321.536
50/50,randrw,3,6034.065531,23.5693359375,164.12793359578643,238.592,317.44
