blocksize,pattern,rep,avg_us,p95_us,p99_us
128k,read,1,945.992661148,1269.76,1564.672
128k,read,2,897.1133612470001,1155.072,1417.216
128k,read,3,909.644705244,1171.456,1384.448
128k,write,1,935.062062774,1204.224,1499.136
128k,write,2,952.021758673,1187.84,1499.136
128k,write,3,946.599981118,1187.84,1515.52
4k,randread,1,156.286203191,222.208,292.864
4k,randread,2,160.781205613,232.448,305.152
4k,randread,3,157.991267261,224.256,296.96
4k,randwrite,1,161.073456676,234.496,313.344
4k,randwrite,2,163.624821383,232.448,309.248
4k,randwrite,3,162.547526429,236.544,313.344
