filter,load_factor,insert_ops_s_mean,insert_ops_s_std,delete_ops_s_mean,delete_ops_s_std,fail_rate_mean,fail_rate_std,avg_probe_length_mean,avg_probe_length_std,avg_cluster_length_mean,avg_cluster_length_std,max_cluster_length_mean,max_cluster_length_std,evictions_mean,evictions_std,stash_hits_mean,stash_hits_std,cluster_hist
cuckoo,0.4,7083175.0,2227295.1616166886,3823955.0,623665.6905435083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579.8,42.17634934942145,0.0,0.0,
cuckoo,0.45,7705050.0,899333.970879438,4397850.0,211186.30505893237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3082.9,45.29765753080154,0.0,0.0,
cuckoo,0.5,9355919.0,2259181.4613284166,5483430.0,1031204.8818736265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5677.7,70.7704426689247,0.0,0.0,
cuckoo,0.55,10486667.0,1116494.5263641519,7002152.0,558041.4575957198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10072.3,87.80160717334431,0.0,0.0,
cuckoo,0.6,9539493.0,521716.26516186405,7249967.0,444718.8345722872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17517.9,167.0691473612051,0.0,0.0,
cuckoo,0.65,6256297.0,1102964.7312287206,6224424.0,844624.86975251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30613.6,412.5129492916958,0.0,0.0,
cuckoo,0.7,5743244.0,258688.16981927183,7109249.0,684401.3559219311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53795.4,677.0995659592611,0.0,0.0,
cuckoo,0.75,3774947.0,359028.368518577,6823849.0,733761.0936878569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99313.9,830.5745601690451,0.0,0.0,
cuckoo,0.8,1937928.0,342513.783690201,6148041.0,595720.689686963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222403.8,2649.002529255115,0.0,0.0,
cuckoo,0.85,531114.1,64534.87931765617,5269097.0,320537.65461070766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821059.5,30206.920955488185,0.0,0.0,
cuckoo,0.9,19772.82,3723.3205546781614,5658139.0,617156.7070120845,0.046494,0.016788561052759176,0.0,0.0,0.0,0.0,0.0,0.0,21435559.1,3930130.169648709,16.0,0.0,
cuckoo,0.95,4040.8419999999996,536.4888408034851,5215977.0,492541.8820781752,0.3016888,0.032316048379163645,0.0,0.0,0.0,0.0,0.0,0.0,46728069.2,3989711.473568534,16.0,0.0,
