filter,target_fpr,achieved_fpr,neg_ratio,threads,qps,p50_ns,p95_ns,p99_ns,seed
bloom,0.01,0.009962,0,1,2.59794e+07,100,200,300,0
bloom,0.01,0.009962,0.5,1,2.07721e+07,100,200,300,0
bloom,0.01,0.009962,0.9,1,1.82347e+07,100,200,200,0
bloom,0.01,0.010009,0,1,2.61542e+07,100,200,300,1
bloom,0.01,0.010009,0.5,1,2.16589e+07,100,200,200,1
bloom,0.01,0.010009,0.9,1,1.81673e+07,100,200,200,1
bloom,0.01,0.010175,0,1,2.46864e+07,200,200,400,2
bloom,0.01,0.010175,0.5,1,2.10902e+07,100,200,300,2
bloom,0.01,0.010175,0.9,1,1.86134e+07,100,200,300,2
bloom,0.01,0.009983,0,1,2.61954e+07,100,200,300,3
bloom,0.01,0.009983,0.5,1,2.1469e+07,200,200,200,3
bloom,0.01,0.009983,0.9,1,1.86355e+07,100,200,200,3
bloom,0.01,0.009999,0,1,2.59504e+07,200,200,300,4
bloom,0.01,0.009999,0.5,1,2.10091e+07,100,200,300,4
bloom,0.01,0.009999,0.9,1,1.88364e+07,200,200,200,4
bloom,0.01,0.010084,0,1,2.62105e+07,100,200,300,5
bloom,0.01,0.010084,0.5,1,2.10191e+07,100,200,200,5
bloom,0.01,0.010084,0.9,1,1.84273e+07,100,200,200,5
bloom,0.01,0.010203,0,1,2.50376e+07,100,200,300,6
bloom,0.01,0.010203,0.5,1,2.14956e+07,100,200,200,6
bloom,0.01,0.010203,0.9,1,1.86675e+07,100,200,200,6
bloom,0.01,0.010115,0,1,2.5111e+07,100,200,200,7
bloom,0.01,0.010115,0.5,1,2.14506e+07,200,200,200,7
bloom,0.01,0.010115,0.9,1,1.8657e+07,100,200,200,7
bloom,0.01,0.009894,0,1,2.59743e+07,100,200,200,8
bloom,0.01,0.009894,0.5,1,2.13505e+07,100,100,100,8
bloom,0.01,0.009894,0.9,1,1.83362e+07,100,200,200,8
bloom,0.01,0.010068,0,1,2.56739e+07,100,200,300,9
bloom,0.01,0.010068,0.5,1,2.1759e+07,200,200,200,9
bloom,0.01,0.010068,0.9,1,1.85317e+07,100,200,200,9
xor,0.01,0.00381,0,1,1.94964e+07,100,200,200,0
xor,0.01,0.00381,0.5,1,2.0318e+07,100,100,200,0
xor,0.01,0.00381,0.9,1,1.97376e+07,100,500,500,0
xor,0.01,0.003965,0,1,2.01882e+07,100,200,200,1
xor,0.01,0.003965,0.5,1,1.94778e+07,100,200,200,1
xor,0.01,0.003965,0.9,1,1.94813e+07,100,200,200,1
xor,0.01,0.003864,0,1,1.95424e+07,100,200,200,2
xor,0.01,0.003864,0.5,1,2.05553e+07,100,100,200,2
xor,0.01,0.003864,0.9,1,1.93768e+07,100,100,100,2
xor,0.01,0.003821,0,1,1.96774e+07,100,200,300,3
xor,0.01,0.003821,0.5,1,1.92153e+07,200,200,200,3
xor,0.01,0.003821,0.9,1,1.90405e+07,100,200,200,3
xor,0.01,0.003925,0,1,2.0282e+07,100,200,400,4
xor,0.01,0.003925,0.5,1,1.95409e+07,100,100,200,4
xor,0.01,0.003925,0.9,1,2.01933e+07,100,200,200,4
xor,0.01,0.003942,0,1,1.95394e+07,100,300,400,5
xor,0.01,0.003942,0.5,1,1.94751e+07,100,200,300,5
xor,0.01,0.003942,0.9,1,1.96639e+07,100,100,200,5
xor,0.01,0.003884,0,1,1.96926e+07,200,200,200,6
xor,0.01,0.003884,0.5,1,1.96387e+07,100,200,300,6
xor,0.01,0.003884,0.9,1,1.91453e+07,100,200,200,6
xor,0.01,0.003941,0,1,1.91344e+07,100,200,200,7
xor,0.01,0.003941,0.5,1,1.95978e+07,100,200,300,7
xor,0.01,0.003941,0.9,1,1.9513e+07,100,100,100,7
xor,0.01,0.003777,0,1,1.93691e+07,100,200,200,8
xor,0.01,0.003777,0.5,1,1.90801e+07,100,200,200,8
xor,0.01,0.003777,0.9,1,1.93184e+07,100,200,200,8
xor,0.01,0.003975,0,1,2.02306e+07,100,200,300,9
xor,0.01,0.003975,0.5,1,1.92377e+07,100,200,200,9
xor,0.01,0.003975,0.9,1,1.94064e+07,100,200,200,9
cuckoo,0.01,0.007107,0,1,8.30385e+06,200,500,500,0
cuckoo,0.01,0.007107,0.5,1,8.75675e+06,200,400,500,0
cuckoo,0.01,0.007107,0.9,1,9.20358e+06,200,300,400,0
cuckoo,0.01,0.006866,0,1,7.42291e+06,200,400,800,1
cuckoo,0.01,0.006866,0.5,1,8.94795e+06,200,300,300,1
cuckoo,0.01,0.006866,0.9,1,9.62401e+06,200,400,400,1
cuckoo,0.01,0.006996,0,1,7.53128e+06,200,400,400,2
cuckoo,0.01,0.006996,0.5,1,8.07736e+06,200,400,400,2
cuckoo,0.01,0.006996,0.9,1,9.52511e+06,200,300,500,2
cuckoo,0.01,0.007,0,1,7.76379e+06,200,300,300,3
cuckoo,0.01,0.007,0.5,1,8.96236e+06,200,300,500,3
cuckoo,0.01,0.007,0.9,1,1.00973e+07,200,200,300,3
cuckoo,0.01,0.006938,0,1,7.86421e+06,200,400,600,4
cuckoo,0.01,0.006938,0.5,1,8.30479e+06,200,500,700,4
cuckoo,0.01,0.006938,0.9,1,9.36442e+06,200,500,600,4
cuckoo,0.01,0.006835,0,1,6.83455e+06,300,600,800,5
cuckoo,0.01,0.006835,0.5,1,8.93254e+06,200,300,500,5
cuckoo,0.01,0.006835,0.9,1,9.51192e+06,200,400,500,5
cuckoo,0.01,0.006857,0,1,7.49215e+06,200,300,400,6
cuckoo,0.01,0.006857,0.5,1,8.36195e+06,200,400,500,6
cuckoo,0.01,0.006857,0.9,1,9.30432e+06,200,400,400,6
cuckoo,0.01,0.006828,0,1,8.23818e+06,200,400,700,7
cuckoo,0.01,0.006828,0.5,1,7.63739e+06,300,400,400,7
cuckoo,0.01,0.006828,0.9,1,9.06118e+06,200,400,400,7
cuckoo,0.01,0.006884,0,1,8.02904e+06,200,500,600,8
cuckoo,0.01,0.006884,0.5,1,8.36376e+06,200,500,500,8
cuckoo,0.01,0.006884,0.9,1,9.71929e+06,200,300,400,8
cuckoo,0.01,0.006991,0,1,7.64385e+06,200,500,600,9
cuckoo,0.01,0.006991,0.5,1,8.32618e+06,200,400,400,9
cuckoo,0.01,0.006991,0.9,1,8.85257e+06,200,500,600,9
quotient,0.01,0.001825,0,1,1.48526e+07,100,200,300,0
quotient,0.01,0.001825,0.5,1,1.33235e+07,200,300,400,0
quotient,0.01,0.001825,0.9,1,1.61894e+07,100,300,400,0
quotient,0.01,0.001895,0,1,1.48719e+07,100,300,400,1
quotient,0.01,0.001895,0.5,1,1.20552e+07,200,400,600,1
quotient,0.01,0.001895,0.9,1,1.16326e+07,200,500,500,1
quotient,0.01,0.001879,0,1,1.42527e+07,200,400,4600,2
quotient,0.01,0.001879,0.5,1,1.24824e+07,200,300,400,2
quotient,0.01,0.001879,0.9,1,1.5183e+07,200,300,300,2
quotient,0.01,0.001951,0,1,1.38676e+07,100,500,500,3
quotient,0.01,0.001951,0.5,1,1.31502e+07,200,400,500,3
quotient,0.01,0.001951,0.9,1,1.52236e+07,100,300,400,3
quotient,0.01,0.001925,0,1,1.0605e+07,200,400,600,4
quotient,0.01,0.001925,0.5,1,1.17893e+07,200,400,500,4
quotient,0.01,0.001925,0.9,1,1.36886e+07,200,300,400,4
quotient,0.01,0.001893,0,1,1.20337e+07,200,300,400,5
quotient,0.01,0.001893,0.5,1,1.33907e+07,100,300,400,5
quotient,0.01,0.001893,0.9,1,1.52851e+07,200,300,500,5
quotient,0.01,0.001942,0,1,1.46976e+07,100,300,300,6
quotient,0.01,0.001942,0.5,1,1.26679e+07,100,300,300,6
quotient,0.01,0.001942,0.9,1,1.64164e+07,100,200,300,6
quotient,0.01,0.001959,0,1,1.48252e+07,200,200,300,7
quotient,0.01,0.001959,0.5,1,1.34273e+07,100,200,500,7
quotient,0.01,0.001959,0.9,1,1.62549e+07,100,300,300,7
quotient,0.01,0.001824,0,1,1.39058e+07,200,300,400,8
quotient,0.01,0.001824,0.5,1,1.33173e+07,200,300,400,8
quotient,0.01,0.001824,0.9,1,1.51741e+07,100,300,500,8
quotient,0.01,0.001787,0,1,1.48363e+07,100,200,400,9
quotient,0.01,0.001787,0.5,1,1.09607e+07,200,400,500,9
quotient,0.01,0.001787,0.9,1,6.77019e+06,300,500,500,9
