filter,n,target_fpr,achieved_fpr,bpe,fp_bits,table_bytes,meta_bytes,build_ms,seed
bloom,1000000,0.05,0.050016,6.23542,-1,779404,24,26,0
bloom,1000000,0.05,0.050277,6.23542,-1,779404,24,27,1
bloom,1000000,0.05,0.050164,6.23542,-1,779404,24,27,2
bloom,1000000,0.05,0.050509,6.23542,-1,779404,24,26,3
bloom,1000000,0.05,0.050372,6.23542,-1,779404,24,26,4
bloom,1000000,0.05,0.050516,6.23542,-1,779404,24,29,5
bloom,1000000,0.05,0.050362,6.23542,-1,779404,24,26,6
bloom,1000000,0.05,0.05057,6.23542,-1,779404,24,27,7
bloom,1000000,0.05,0.050416,6.23542,-1,779404,24,58,8
bloom,1000000,0.05,0.050379,6.23542,-1,779404,24,26,9
bloom,1000000,0.01,0.010154,9.58526,-1,1198133,24,38,0
bloom,1000000,0.01,0.010009,9.58526,-1,1198133,24,42,1
bloom,1000000,0.01,0.010175,9.58526,-1,1198133,24,39,2
bloom,1000000,0.01,0.009983,9.58526,-1,1198133,24,38,3
bloom,1000000,0.01,0.009999,9.58526,-1,1198133,24,40,4
bloom,1000000,0.01,0.010084,9.58526,-1,1198133,24,39,5
bloom,1000000,0.01,0.010203,9.58526,-1,1198133,24,38,6
bloom,1000000,0.01,0.010115,9.58526,-1,1198133,24,38,7
bloom,1000000,0.01,0.009894,9.58526,-1,1198133,24,42,8
bloom,1000000,0.01,0.010068,9.58526,-1,1198133,24,38,9
bloom,1000000,0.001,0.001008,14.3778,-1,1797199,24,58,0
bloom,1000000,0.001,0.000994,14.3778,-1,1797199,24,57,1
bloom,1000000,0.001,0.000986,14.3778,-1,1797199,24,58,2
bloom,1000000,0.001,0.00099,14.3778,-1,1797199,24,59,3
bloom,1000000,0.001,0.001018,14.3778,-1,1797199,24,56,4
bloom,1000000,0.001,0.00101,14.3778,-1,1797199,24,56,5
bloom,1000000,0.001,0.00103,14.3778,-1,1797199,24,58,6
bloom,1000000,0.001,0.001019,14.3778,-1,1797199,24,57,7
bloom,1000000,0.001,0.001014,14.3778,-1,1797199,24,58,8
bloom,1000000,0.001,0.000941,14.3778,-1,1797199,24,59,9
xor,1000000,0.05,0.015415,7.8,6,975000,0,457,0
xor,1000000,0.05,0.015488,7.8,6,975000,0,494,1
xor,1000000,0.05,0.01537,7.8,6,975000,0,417,2
xor,1000000,0.05,0.015342,7.8,6,975000,0,440,3
xor,1000000,0.05,0.01534,7.8,6,975000,0,428,4
xor,1000000,0.05,0.015386,7.8,6,975000,0,435,5
