filter,workload,threads,qps,p50_us,p95_us,p99_us,seed
bloom,read_mostly,1,1.52147e+07,0.1,0.2,0.2,0
bloom,read_mostly,1,1.52845e+07,0.1,0.2,0.2,1
bloom,read_mostly,1,1.57454e+07,0.1,0.1,0.2,2
bloom,read_mostly,1,1.61713e+07,0.1,0.1,0.2,3
bloom,read_mostly,1,1.6342e+07,0.1,0.1,0.2,4
bloom,read_mostly,1,1.55932e+07,0.1,0.2,0.3,5
bloom,read_mostly,1,1.56425e+07,0.1,0.1,0.2,6
bloom,read_mostly,1,1.48655e+07,0.1,0.2,0.2,7
bloom,read_mostly,1,1.43069e+07,0.1,0.1,0.2,8
bloom,read_mostly,1,1.4822e+07,0.1,0.2,0.2,9
bloom,read_mostly,2,3.04494e+07,0.1,0.2,0.2,0
bloom,read_mostly,2,3.12583e+07,0.1,0.2,0.3,1
bloom,read_mostly,2,3.0945e+07,0.1,0.2,0.2,2
bloom,read_mostly,2,3.04728e+07,0.1,0.1,0.2,3
bloom,read_mostly,2,3.17725e+07,0.1,0.2,0.2,4
bloom,read_mostly,2,3.14598e+07,0.1,0.1,0.2,5
bloom,read_mostly,2,3.02667e+07,0.1,0.2,0.2,6
bloom,read_mostly,2,3.16346e+07,0.1,0.2,0.2,7
bloom,read_mostly,2,2.90549e+07,0.1,0.1,0.2,8
bloom,read_mostly,2,3.08563e+07,0.1,0.2,0.2,9
bloom,read_mostly,4,5.23225e+07,0.1,0.2,0.3,0
bloom,read_mostly,4,5.69513e+07,0.1,0.2,0.2,1
bloom,read_mostly,4,5.24352e+07,0.1,0.1,0.2,2
bloom,read_mostly,4,5.59319e+07,0.1,0.2,0.2,3
bloom,read_mostly,4,4.98495e+07,0.1,0.1,0.2,4
bloom,read_mostly,4,5.83874e+07,0.1,0.2,0.2,5
bloom,read_mostly,4,5.64564e+07,0.1,0.2,0.2,6
bloom,read_mostly,4,5.98774e+07,0.1,0.2,0.2,7
bloom,read_mostly,4,6.10539e+07,0.1,0.1,0.2,8
bloom,read_mostly,4,4.68661e+07,0.1,0.2,0.3,9
bloom,read_mostly,8,5.68396e+07,0.1,0.2,0.3,0
bloom,read_mostly,8,8.08186e+07,0.1,0.2,0.3,1
bloom,read_mostly,8,8.20216e+07,0.1,0.2,0.2,2
bloom,read_mostly,8,7.36863e+07,0.1,0.2,0.2,3
bloom,read_mostly,8,6.60353e+07,0.1,0.2,0.2,4
bloom,read_mostly,8,7.79832e+07,0.1,0.2,0.2,5
bloom,read_mostly,8,7.72937e+07,0.1,0.2,0.2,6
bloom,read_mostly,8,7.5312e+07,0.1,0.2,0.2,7
bloom,read_mostly,8,6.93919e+07,0.1,0.2,0.2,8
bloom,read_mostly,8,7.85026e+07,0.1,0.2,0.2,9
bloom,read_mostly,16,7.29698e+07,0.1,0.2,0.2,0
bloom,read_mostly,16,7.79191e+07,0.1,0.2,0.3,1
bloom,read_mostly,16,7.43646e+07,0.1,0.2,0.2,2
bloom,read_mostly,16,7.70509e+07,0.1,0.2,0.3,3
bloom,read_mostly,16,7.50374e+07,0.1,0.2,0.3,4
bloom,read_mostly,16,7.0704e+07,0.1,0.2,0.3,5
bloom,read_mostly,16,7.64711e+07,0.1,0.2,0.2,6
bloom,read_mostly,16,7.51217e+07,0.1,0.2,0.3,7
bloom,read_mostly,16,6.17376e+07,0.1,0.2,0.3,8
