filter,workload,threads_mean,threads_std,qps_mean,qps_std,p50_us_mean,p50_us_std,p95_us_mean,p95_us_std,p99_us_mean,p99_us_std,seed_mean,seed_std
bloom,balanced,1.0,0.0,13776970.0,490286.46286295383,0.1,0.0,0.19,0.03162277660168379,0.21000000000000002,0.03162277660168379,4.5,3.0276503540974917
bloom,balanced,2.0,0.0,26832790.0,702854.7098954536,0.1,0.0,0.2,0.0,0.21000000000000002,0.03162277660168379,4.5,3.0276503540974917
bloom,balanced,4.0,0.0,47890650.0,4429996.683031114,0.1,0.0,0.2,0.0,0.21000000000000002,0.03162277660168379,4.5,3.0276503540974917
bloom,balanced,8.0,0.0,74427640.0,2738459.089098587,0.1,0.0,0.2,0.0,0.2,0.0,4.5,3.0276503540974917
bloom,balanced,16.0,0.0,79504000.0,7550659.787506428,0.1,0.0,0.2,0.0,0.22999999999999998,0.04830458915396479,4.5,3.0276503540974917
bloom,read_mostly,1.0,0.0,15398800.0,628932.5295027016,0.1,0.0,0.15,0.052704627669472995,0.21000000000000002,0.03162277660168379,4.5,3.0276503540974917
bloom,read_mostly,2.0,0.0,30817030.0,807516.4890645338,0.1,0.0,0.17,0.0483045891539648,0.21000000000000002,0.03162277660168379,4.5,3.0276503540974917
bloom,read_mostly,4.0,0.0,55013160.0,4535584.954115622,0.1,0.0,0.17,0.048304589153964794,0.22000000000000003,0.04216370213557838,4.5,3.0276503540974917
bloom,read_mostly,8.0,0.0,73788480.0,7734122.270504334,0.1,0.0,0.2,0.0,0.22000000000000003,0.04216370213557838,4.5,3.0276503540974917
bloom,read_mostly,16.0,0.0,73250030.0,4692531.255338992,0.1,0.0,0.2,0.0,0.27,0.048304589153964794,4.5,3.0276503540974917
cuckoo,balanced,1.0,0.0,5895307.0,205196.32095738075,0.21000000000000002,0.03162277660168379,0.4,0.0,0.65,0.05270462766947295,4.5,3.0276503540974917
cuckoo,balanced,2.0,0.0,12560018.0,1093111.1673242063,0.2,0.0,0.41000000000000003,0.03162277660168379,0.6,0.0816496580927726,4.5,3.0276503540974917
cuckoo,balanced,4.0,0.0,25360750.0,3724687.8751409794,0.2,0.0,0.32999999999999996,0.0483045891539648,0.53,0.13374935098492585,4.5,3.0276503540974917
cuckoo,balanced,8.0,0.0,38543260.0,5270975.978191009,0.21000000000000002,0.031622776601683784,0.36,0.0699205898780101,0.5700000000000001,0.14181364924121764,4.5,3.0276503540974917
cuckoo,balanced,16.0,0.0,57431460.0,4839020.6114690425,0.2,0.0,0.35,0.05270462766947301,0.51,0.0737864787372622,4.5,3.0276503540974917
cuckoo,read_mostly,1.0,0.0,5804991.0,228685.07459677669,0.22000000000000003,0.04216370213557838,0.44000000000000006,0.05163977794943222,0.9799999999999999,0.9964381008817802,4.5,3.0276503540974917
cuckoo,read_mostly,2.0,0.0,12508600.0,436550.94140826736,0.2,0.0,0.38,0.042163702135578414,0.53,0.09486832980505135,4.5,3.0276503540974917
cuckoo,read_mostly,4.0,0.0,25680200.0,2635266.3888115752,0.2,0.0,0.32,0.04216370213557841,0.53,0.11595018087284058,4.5,3.0276503540974917
cuckoo,read_mostly,8.0,0.0,39252330.0,2369330.2377816956,0.2,0.0,0.37,0.04830458915396481,0.53,0.04830458915396479,4.5,3.0276503540974917
cuckoo,read_mostly,16.0,0.0,55188060.0,3443270.415430333,0.2,0.0,0.4,0.0,0.54,0.05163977794943221,4.5,3.0276503540974917
quotient,balanced,1.0,0.0,10044724.0,534427.0673492835,0.16,0.051639777949432225,0.33999999999999997,0.051639777949432225,0.85,1.1088031585653264,4.5,3.0276503540974917
quotient,balanced,2.0,0.0,17521080.0,1703009.3487053376,0.2,0.0,0.38,0.06324555320336761,0.63,0.10593499054713806,4.5,3.0276503540974917
